video_id,url,platform,date_of_event,city,caption,duration_seconds,duration_label,views,thumbnail_url,language,sentiment_score,sentiment_label
VID001,https://www.youtube.com/watch?v=s3SN12e1-No,Youtube,6/2/2026,Lahore,"Mochi Gate Lahore Basant 2026 Market - Kite, Gudda And Dor Prices Revealed",775,long (>5 min),86000,https://img.youtube.com/vi/s3SN12e1-No/maxresdefault.jpg,Urdu,0,neutral
VID002,https://www.youtube.com/watch?v=9vvHE9lRxAI,Youtube,8/2/2026,Rawalpindi,Rawalpindi Basant 2026 😱 Pindi Basant ki Tayari full arooj par,967,long (>5 min),1000000,https://img.youtube.com/vi/9vvHE9lRxAI/maxresdefault.jpg,Urdu,1,positive
VID003,https://www.urdupoint.com/videos/basant-last-night-in-lahore-families-celebrate-with-kite-flying-on-rooftops-festival-fun.html,Urdupoint,8/2/2026,Lahore,Basant Last Night In Lahore | Families Celebrate With Kite Flying On Rooftops & Festival Fun,267,medium (1 to 5 min),2400,https://img.youtube.com/vi/jxGVi0_zvRE&t=1s/maxresdefault.jpg,Urdu,1,positive
VID004,https://www.youtube.com/watch?v=CNdHIsSv0v8,Youtube,6/2/2026,Lahore,Lahore Basant 2026 | Amazing facts & History of Lahore,670,long (>5 min),204000,https://img.youtube.com/vi/CNdHIsSv0v8/maxresdefault.jpg,Urdu,1,positive
VID005,https://www.urdupoint.com/videos/basant-in-lahore-view-of-lahores-basant-celebrations-from-citys-highest-most-expensive-rooftop.html,Urdupoint,7/2/2026,Lahore,Basant In Lahore: View Of Lahore's Basant Celebrations From City's Highest & Most Expensive Rooftop,350,long (>5 min),8400,https://img.youtube.com/vi/6eQux22gSxs&t=7s/maxresdefault.jpg,Urdu,0,neutral
VID006,https://www.youtube.com/watch?v=auWpe7cBRM8,Youtube,8/2/2026,Lahore,Basant 2026 Lahore: GPO Rooftop Available For Kite Flying | Rooftop Rent & Kite Flyers Money Demand,428,long (>5 min),30000,https://img.youtube.com/vi/auWpe7cBRM8/maxresdefault.jpg,Urdu,1,positive
VID007,https://www.youtube.com/watch?v=9yNP4eWapjE,Youtube,7/2/2026,Lahore,Major Kite Flying Battles Started on Largest Rooftop at Bhati Chowk for Basant - Lahore Basant 2026,606,long (>5 min),16000,https://img.youtube.com/vi/9yNP4eWapjE/maxresdefault.jpg,Urdu,1,positive
VID008,https://www.youtube.com/watch?v=w7ovY3YkPIs,Youtube,7/2/2026,Lahore,2026 Lahore Night Basant par Saab Record tut gye😱|1000+ Gudda khareed liya🤩,1104,long (>5 min),110000,https://img.youtube.com/vi/w7ovY3YkPIs/maxresdefault.jpg,English,0,neutral
VID009,https://www.youtube.com/watch?v=WuOsWXPLmyo,Youtube,8/2/2026,Rawalpindi,2026 Basant ! Rawalpindi ny record tor dala 😱 police or pindi boy ki jang,1152,long (>5 min),17000,https://img.youtube.com/vi/WuOsWXPLmyo/maxresdefault.jpg,Urdu,0,neutral
VID010,https://www.youtube.com/watch?v=mewBBSSCN6c,Youtube,8/2/2026,Lahore,Basant Lahore 2026: Record Breaking Kite Flying in Androon!,2330,long (>5 min),14000,https://img.youtube.com/vi/mewBBSSCN6c/maxresdefault.jpg,Urdu,1,positive
VID011,https://www.youtube.com/watch?v=Jkscj1OWGNw,Youtube,6/2/2026,Rawalpindi,Rawalpindi Basant 2026 Omg 😱 Tukel say 3 ** 6 Tavy Aik Bari mai kat dea,1041,long (>5 min),546000,https://img.youtube.com/vi/Jkscj1OWGNw/maxresdefault.jpg,Urdu,0,neutral
VID012,https://www.youtube.com/watch?v=tEWuYUgiQRI,Youtube,7/2/2026,Rawalpindi,Rawalpindi Basant😱 25 Githi Tukely & Police 👮,960,long (>5 min),250000,https://img.youtube.com/vi/tEWuYUgiQRI/maxresdefault.jpg,Urdu,0,neutral
