platform,date,city,url,caption,hashtags
Facebook,2026-01-06,Lahore,https://www.facebook.com/share/v/1aRyTKGMCo/,LAHORE BASANT STOCK PACKING FOR COMING SOON BASANT 2026,#basant2026
Instagram,2026-02-02,Lahore,https://www.instagram.com/reel/DUOl_szDFNV/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Lahore on Basant is not just a festival its a whole emotion ????,#basant #lahore #foryou #trend #reel
Twitter,2026-02-03,Lahore,https://x.com/pid_gov/status/basant-pmd-weather,"Mainly dry weather with clear skies is expected on 6th and 7th February, while dry weather with few cloudy conditions on 8th February, 2026 in Lahore during the Basant 2026.","#Basant2026,#Lahore,#PMD"
Facebook,2026-02-05,Lahore,https://www.facebook.com/share/p/1CmFDfxtWg/,"Basant 2026 has transformed Lahore into a prime destination for international tourists, with all hotels fully booked in anticipation of the festival.",#Basant2026 #Lahore #Tourism #InternationalTourists #HotelsBooked #TravelPakistan #CulturalFestival
Facebook,2026-02-05,Lahore,https://www.facebook.com/share/v/1FUDBxTjTb/,Basant Festival Lahore 2026,#Pakistan #foryou? #lahore #beautiful #viral #top #Basant2026 #trendingreel #beauty #festival Mera Pakistan ???? ???????
Facebook,2026-02-06,Lahore,https://www.facebook.com/share/r/1CLKHf3H8y/,Lahore Basant,#Basant2026 #BasantFestival #openingday #openingceremony #Basant #lahore #festival
Instagram,2026-02-06,Lahore,https://www.instagram.com/reel/DUbLJeziKkH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Basant at FCCU,#basant #lahore #basantlahore #fypreels?? #foryoupage
Twitter,2026-02-06,Lahore,https://x.com/pmln_org/status/2000433645291819500,"After 25 years, Basant returns to Lahore! The city of lights and colors will once again celebrate joy, culture, and tradition. 6-8 February 2026. A vibrant revival of Punjab's heritage, safe, festive, and full of life.","#Basant2026,#Lahore,#Punjab"
Twitter,2026-02-06,Lahore,https://x.com/Marriyum_A/status/basant-revival,"CM Punjab Maryam Nawaz has approved the revival of our beloved Heritage Basant Festival on February 6th, 7th and 8th, celebrated across Lahore after 25 years, a tradition rooted in history and admired worldwide.","#Basant2026,#Lahore,#MaryamNawaz"
Facebook,2026-02-06,Lahore,https://www.facebook.com/expressnewspk/posts/1401192575370065,Basant 2026 returns to Lahore after years - kite flying allowed with strict safety measures.,"#Basant2026,#Lahore,#ExpressNews"
Facebook,2026-02-06,Lahore,https://www.facebook.com/paa.gov.pk/posts/122185286930543514,"Important Public Notice: Basant Festival 2026 - in line with aviation safety requirements, kite flying near airports is strictly prohibited.","#Basant2026,#AviationSafety,#Lahore"
Facebook,2026-02-06,Lahore,https://www.facebook.com/p/Basant-Festival-In-Rawalpindi-m-100063725512499,"Lahore's iconic Basant Festival is officially returning on Feb 6-8, 2026 - marking the revival of one of the city's most vibrant cultural traditions.","#Basant2026,#Lahore,#BasantFestival"
Instagram,2026-02-07,Lahore,https://www.instagram.com/reel/DUWUdKOiOiZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Lahore  Basant 2026,#trending #lahore #foryou #explore #viral
Twitter,2026-02-07,Lahore,https://x.com/PakStartup/status/2020173070720258505?s=20,"The festival is estimated to have generated between Rs. 4 and 6 billion, delivering a significant economic boost to Pakistan through tourism, trade, and local commerce.",#Basant2026 #Lahore #PakistanEconomy #TourismBoost #LocalBusiness
Facebook,2026-02-08,Lahore,https://www.facebook.com/share/r/1FPP5vhR5G/,Aerial view of Lahore city on the Basant Night 2026 ,#Lahore #BasantLahore #LahoreRang #BasantFestival #Basant2026 #basantfestival2026 #Punjab #Pakistan 
Facebook,2026-02-08,Lahore,https://www.facebook.com/share/r/1HpmCwkMN7/,Basant pr Lahore ke Manazir,#Basant #BasantFestival #Basant2026 #Lahore
Instagram,2026-02-08,Lahore,https://www.instagram.com/reel/DUeAPQDDPaY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,POV : Basant in Lahore,"#Basant, #Lahore Basant, #Basant 2026, #Old Lahore"
Instagram,2026-02-09,Lahore,https://www.instagram.com/p/DUiXAJAkd1A/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Basant'26,#basant2026?????? #basant #basantlahore #shotoniphone
Facebook,2026-02-14,Lahore,https://www.facebook.com/share/v/1Av2q47Uri/,Lahore Androon Basant Last DayEnd Hogya Sary Record Tor Diay ||Basant 2026 Lahore,#Basant #Androon #Lahore
Instagram,2026-02-12,Rawalpindi,https://www.instagram.com/reel/DUa8zbZCJVO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Rawalpindi Basant 2k26,#basant #rawalpindi #2k26 #pindi #fyp
Facebook,2026-02-12,Rawalpindi,https://www.facebook.com/Mianbilalahmed65/posts/1346449120610789,"Rawalpindi city Basant date official: 12-13 February, Thursday-Friday 2026 InshaAllah. Get ready for the celebrations!","#Basant2026,#Rawalpindi"
Facebook,2026-02-13,Rawalpindi,https://www.facebook.com/share/r/18N43XcfrS/,Pindi Basant 2026 seen (A)?????,#basant #basant2026
Instagram,2026-02-13,Rawalpindi,https://www.instagram.com/reel/DUstM90jE9w/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Rawaklpindi Basant live scenes,#rawalpindibasant #rawalpindi #reels
Facebook,2026-02-13,Rawalpindi,https://www.facebook.com/kitebasantfestival.com.pk/posts/1426911745699777,Rawalpindi Basant 2026 - Branded festival. Beautiful celebrations across the city with kites filling the skies.,"#Basant2026,#Rawalpindi,#KiteFestival"
Instagram,2026-02-13,Rawalpindi,https://www.instagram.com/p/DT-zuFYjFNR/,"Basant Family Festival 2026 in Rawalpindi & Islamabad - join us for a colorful celebration of spring, culture and community.","#Basant2026,#Rawalpindi,#Islamabad,#BasantFestival"
Instagram,2026-02-13,Rawalpindi,https://www.instagram.com/popular/rawalpindi-basant-night-2026/,"Rawalpindi Basant Night 2026 - rooftops lit up, kites in the night sky, celebrations in full swing across the city.","#BasantNight2026,#Rawalpindi,#Basant2026"
Facebook,2026-02-14,Rawalpindi,https://www.facebook.com/share/r/17yGpZV2qS/,Pindi Basant 2026,#Basantfestival
Instagram,2026-02-14,Rawalpindi,https://www.instagram.com/p/DUCYHU7iicJ/,"Basant Family Festival 2026 in Rawalpindi & Islamabad - kites, colors and spring festivities in full swing!","#Basant2026,#Rawalpindi,#KiteFlying"
Facebook,2026-02-15,Rawalpindi,https://www.facebook.com/share/v/1C1brZF7uZ/,Pindi basant 2026,#Basant #Lahore
Twitter,2026-02-15,Rawalpindi,https://x.com/PakStartup/status/2022898710053601409?s=20,Basant Celebrations Continue in Rawalpindi Despite Official B@n ,#Rawalpindi #Basant2026 #PunjabNews
